SN_Name,old_name,redshift,year
sn2002hu,sn2002hu,0.036699,2002
sn2000fa,sn00fa,0.02127,2000
sn2007qe,sn2007qe,0.0201,2007
sn2003du,sn2003du,0.006381,2003
sn2003it,sn2003it,0.025121,2003
sn1991bg,sn91bg,0.003539,1991
sn2007bd,sn07bd,0.031939,2007
sn1999cl,sn1999cl,0.007609,1999
sn1997dt,sn1997dt,0.007318,1997
sn2005hc,sn2005hc,0.044983,2005
sn2008a,sn2008a,0.016455,2008
sn2005ms,sn05ms,0.025204,2005
sn2003cq,sn03cq,0.033283,2003
sn2005el,sn2005el,0.014885,2005
sn2002ef,sn2002ef,0.023977,2002
sn2007gk,sn07gk,0.02663,2007
sn2001da,sn2001da,0.017195,2001
sn1998es,sn1998es,0.01057,1998
sn1996bl,sn1996bl,0.0348,1996
sn2000dk,sn00dk,0.01744,2000
sn2008ec,sn08ec,0.016317,2008
sn2006gr,sn2006gr,0.034601,2006
sn2007bz,sn2007bz,0.021778,2007
sn1996c,sn1996c,0.0276,1996
sn1996bk,sn1996bk,0.00681,1996
sn2005hj,sn2005hj,0.056948,2005
sn2001cj,sn2001cj,0.024233,2001
sn2007le,sn2007le,0.006721,2007
sn1999gp,sn1999gp,0.02675,1999
sn2007fs,sn07fs,0.01719,2007
sn2005cf,sn2005cf,0.006461,2005
sn1997bp,sn1997bp,0.008309,1997
sn1990n,sn1990n,0.003399,1990
sn2006em,sn2006em,0.019233,2006
sn1999aa,sn99aa,0.01444,1999
sn1990i,sn1990i,0.0097,1990
sn2006ax,sn2006ax,0.016725,2006
sn2002ck,sn2002ck,0.029864,2002
sn1997e,sn1997e,0.01354,1997
sn2003y,sn03y,0.01694,2003
sn2000cx,sn2000cx,0.007929,2000
sn2007fr,sn07fr,0.0501,2007
sn1995bd,sn1995bd,0.0152,1995
sn1999ef,sn1999ef,0.03914,1999
sn2008ae,sn2008ae,0.03006,2008
sn2001en,sn2001en,0.015871,2001
sn2003hu,sn2003hu,0.075,2003
sn2006gt,sn06gt,0.044771,2006
sn2006bz,sn06bz,0.027906,2006
sn2004ey,sn04ey,0.014627,2004
sn2000dm,sn00dm,0.01503,2000
sn2007bc,sn07bc,0.02077,2007
sn2006hb,sn2006hb,0.015337,2006
sn2001eh,sn01eh,0.037039,2001
sn2006cf,sn06cf,0.041549,2006
sn2004aw,sn2004aw,0.016,2004
sn1994s,sn94s,0.01518,1994
sn2005be,sn05be,0.035001,2005
sn2005cs,sn2005cs,0.00137,2005
sn2006bt,sn2006bt,0.032156,2006
sn2000dn,sn00dn,0.032065,2000
sn2007ci,sn2007ci,0.018126,2007
sn2007kk,sn07kk,0.041045,2007
sn2001dw,sn01dw,0.02544,2001
sn1999aa,sn1999aa,0.01444,1999
sn2007cg,sn2007cg,0.033196,2007
sn2004gs,sn04gs,0.027498,2004
sn2005gj,sn05gj,0.0616,2005
sn2006ac,sn2006ac,0.023106,2006
sn2001fe,sn2001fe,0.013539,2001
sn2006eq,sn2006eq,0.048358,2006
sn2002fb,sn02fb,0.015567,2002
sn2002eu,sn02eu,0.037626,2002
sn2007ba,sn07ba,0.038513,2007
sn2006le,sn2006le,0.017432,2006
sn2006ev,sn2006ev,0.02873,2006
sn2004s,sn2004s,0.00937,2004
sn2004bg,sn2004bg,0.021035,2004
sn2004fu,sn2004fu,0.00921,2004
sn1997y,sn1997y,0.01587,1997
sn2006bz,sn2006bz,0.027906,2006
snls03d3bb,snls03d3bb,0.244,2003
sn2007ux,sn2007ux,0.030915,2007
sn2002ha,sn2002ha,0.014046,2002
sn1993ac,sn1993ac,0.0443,1993
sn2002ha,sn02ha,0.014046,2002
sn2005hk,sn2005hk,0.01306,2005
sn2001ck,sn2001ck,0.034721,2001
sn2007ae,sn2007ae,0.064387,2007
sn1999cc,sn1999cc,0.03133,1999
sn1984a,sn1984a,-0.00092,1984
sn2003cq,sn2003cq,0.033283,2003
sn1991bg,sn1991bg,0.003539,1991
sn2005el,sn05el,0.014885,2005
sn2006cf,sn2006cf,0.041549,2006
sn2006gt,sn2006gt,0.044771,2006
sn2006te,sn2006te,0.031592,2006
sn2008hs,sn08hs,0.017349,2008
sn2005a,sn2005a,0.01914,2005
sn1998bp,sn1998bp,0.01043,1998
sn2007al,sn2007al,0.012122,2007
sn2005bo,sn2005bo,0.015013,2005
sn2006gz,sn2006gz,0.028,2006
sn2006x,sn2006x,0.00524,2006
sn2003u,sn03u,0.028341,2003
sn1996l,sn1996l,0.033,1996
sn1999da,sn1999da,0.01269,1999
sn1998s,sn1998s,0.00302,1998
sn1991t,sn91t,0.005791,1991
sn1998ef,sn98ef,0.01774,1998
sn2005am,sn2005am,0.007899,2005
sn2002fk,sn2002fk,0.007132,2002
sn1999gd,sn1999gd,0.01851,1999
sn2007ap,sn2007ap,0.015818,2007
sn2002eu,sn2002eu,0.037626,2002
sn2005kc,sn05kc,0.01512,2005
sn1998bw,sn98bw,0.0085,1998
sn2002er,sn2002er,0.008569,2002
sn2006dm,sn06dm,0.022019,2006
sn1998eg,sn1998eg,0.02476,1998
sn2006d,sn2006d,0.008529,2006
sn1999by,sn99by,0.002128,1999
sn2006ac,sn06ac,0.023106,2006
sn2007bm,sn07bm,0.006211,2007
sn2005ki,sn2005ki,0.019207,2005
sn1983v,sn1983v,0.0055,1983
sn1996bv,sn1996bv,0.01667,1996
sn2002fb,sn2002fb,0.015567,2002
sn2006sr,sn2006sr,0.02414,2006
sn2007hj,sn2007hj,0.01411,2007
sn2006bu,sn06bu,0.084001,2006
sn2008r,sn2008r,0.012887,2008
sn2001cp,sn2001cp,0.022402,2001
sn2005eq,sn2005eq,0.028351,2005
sn1999da,sn99da,0.01269,1999
sn1998dx,sn98dx,0.054221,1998
sn2006cz,sn2006cz,0.041799,2006
sn2007qe,sn07qe,0.0201,2007
sn1999by,sn1999by,0.002128,1999
sn1994i,sn94i,0.00156,1994
sn2005mc,sn2005mc,0.026006,2005
sn1997ef,sn1997ef,0.01168,1997
sn2005iq,sn2005iq,0.032929,2005
sn2000dg,sn2000dg,0.03849,2000
sn2007ca,sn2007ca,0.014066,2007
sn2002cf,sn02cf,0.0155,2002
sn1998dh,sn1998dh,0.00897,1998
sn2007a,sn07a,0.016463,2007
sn2001ah,sn2001ah,0.057756,2001
sn2003y,sn2003y,0.01694,2003
sn2006et,sn06et,0.021178,2006
sn2005ke,sn05ke,0.00488,2005
sn2004bw,sn04bw,0.021198,2004
sn2002he,sn02he,0.024564,2002
sn2000dn,sn2000dn,0.032065,2000
sn2003w,sn2003w,0.020071,2003
sn2006br,sn2006br,0.02459,2006
sn2008ds,sn08ds,0.02103,2008
sn2006al,sn2006al,0.067849,2006
sn2000ce,sn2000ce,0.01631,2000
sn2008bf,sn2008bf,0.024027,2008
sn2005dv,sn05dv,0.010404,2005
sn2006ak,sn2006ak,0.0381,2006
sn2002cx,sn2002cx,0.02396,2002
sn2002hd,sn02hd,0.035001,2002
sn2007co,sn2007co,0.026962,2007
sn2006sr,sn06sr,0.02414,2006
sn2004fz,sn2004fz,0.017312,2004
sn2006ot,sn2006ot,0.05294,2006
sn2006kf,sn2006kf,0.020799,2006
sn2000dg,sn00dg,0.03849,2000
sn2007jg,sn2007jg,0.036577,2007
sn2007y,sn2007y,0.0046,2007
sn2001eh,sn2001eh,0.037039,2001
sn2002do,sn2002do,0.015881,2002
sn2001az,sn2001az,0.040701,2001
sn1995e,sn95e,0.01158,1995
sn1994s,sn1994s,0.01518,1994
sn2001bg,sn01bg,0.007122,2001
sn1994t,sn1994t,0.03466,1994
sn2006ev,sn06ev,0.02873,2006
sn2002cd,sn2002cd,0.010344,2002
sn2005bl,sn05bl,0.02406,2005
sn2002fk,sn02fk,0.007132,2002
sn2000cw,sn2000cw,0.030134,2000
sn2003kc,sn2003kc,0.03337,2003
sn2002jy,sn2002jy,0.0196,2002
sn2007sr,sn2007sr,0.005417,2007
sn2006bq,sn06bq,0.021905,2006
sn2005na,sn2005na,0.026815,2005
sn2005cg,sn2005cg,0.031,2005
sn2006oa,sn2006oa,0.062573,2006
sn1997bq,sn1997bq,0.00941,1997
sn2002bz,sn02bz,0.037149,2002
sn2000cp,sn2000cp,0.034204,2000
sn1990o,sn1990o,0.03066,1990
sn1998ec,sn98ec,0.0199,1998
sn2013df,sn2013df,0.002388,2013
sn2011hs,11hs,0.0057,2011
sn2013ge,13ge,0.004356,2013
sn2016gkg,16gkg,0.0049,2016
sn2014ad,sn2014ad,0.0057,2014
iPTF15dtg,15dtg,0.0524,2015
sn2017ein,17ein,0.002699,2017
sn2010as,10as,0.007315,2010
sn2012au,12au,0.0045,2012
sn2016coi,16coi,0.003646,2016
sn2012p,sn2012p,0.004533,2012
lsq14efd,lsq14efd,0.08,2014
sn1993j,sn1993j,-0.000113,1993
sn2005kl,sn2005kl,0.003486,2005
sn2000h,sn2000h,0.013,2000
sn1994i,sn1994i,0.00156,1994
sn1990u,sn1990u,0.007935,1990
sn2005bf,sn2005bf,0.018913,2005
sn1998bw,sn1998bw,0.0085,1998
sn1996cb,sn1996cb,0.0024,1996
sn1998dt,sn1998dt,0.0153,1998
sn2008d,sn2008d,0.006521,2008
sn2006aj,sn2006aj,0.033023,2006
sn2004dn,sn2004dn,0.0126,2004
sn2005hg,sn2005hg,0.021,2005
sn2011ei,sn2011ei,0.009313,2011
ptf12gzk,ptf12gzk,0.01377,2012
sn2004ge,sn2004ge,0.016,2004
sn2005az,sn2005az,0.0085,2005
sn2007ag,sn2007ag,0.0207,2007
sn2007kj,sn2007kj,0.0179,2007
sn2011dh,sn2011dh,0.001638,2011
sn2005mf,sn2005mf,0.02675,2005
sn2009iz,sn2009iz,0.014,2009
sn2011bm,sn2011bm,0.022,2011
sn2007c,sn2007c,0.005611,2007
sn2009bb,sn2009bb,0.0104,2009
sn1998fa,sn1998fa,0.025,1998
sn2010ma,sn2010ma,0.55185,2010
sn2007d,sn2007d,0.023,2007
sn2009er,sn2009er,0.035,2009
iptf13bvn,iptf13bvn,0.00449,2013
iptf13bvn,iptf13bvn,0.00591,2013
sn2006jc,sn2006jc,0.005574,2006
sn2004gq,sn2004gq,0.006468,2004
sn2004gv,sn2004gv,0.02,2004
sn2005la,sn2005la,0.01856,2005
ptf10qts,ptf10qts,0.0907,2010
sn2003lw,sn2003lw,0.1055,2003
sn2009mg,sn2009mg,0.0076,2009
sn2007cl,sn2007cl,0.0222,2007
sn2010ah,ptf10bzf,0.0498,2010
sn2004fe,sn2004fe,0.018,2004
sn2013cq,sn2013cq,0.3399,2013
sn2008bo,sn2008bo,0.0049,2008
sn2006ep,sn2006ep,0.015,2006
sn2009jf,sn2009jf,0.0079,2009
sn2006t,sn2006t,0.0081,2006
sn2012bz,sn2012bz,0.283,2012
sn2008ax,sn2008ax,0.001931,2008
sn2010ay,sn2010ay,0.0671,2010
sn2013dk,sn2013dk,0.005477,2013
sn2009nz,sn2009nz,0.49,2009
sn2004ff,sn2004ff,0.023,2004
sn2006el,sn2006el,0.017,2006
sn2011fu,sn2011fu,0.018489,2011
sn2003dh,sn2003dh,0.1685,2003
sn2004dk,sn2004dk,0.0052,2004
sn2007bg,sn2007bg,0.034,2007
ptf10vgv,ptf10vgv,0.015,2010
sn2012ap,sn2012ap,0.01224,2012
sn2013dx,sn2013dx,0.145,2013
sn2007gr,sn2007gr,0.0017,2007
sn2002ao,sn2002ao,0.005134,2002
sn2004gt,sn2004gt,0.005477,2004
sn2000er,sn2000er,0.031,2000
sn2005ek,sn2005ek,0.016551,2005
sn2007ru,sn2007ru,0.0155,2007
sn2003jd,sn2003jd,0.019,2003
sn2007uy,sn2007uy,0.0065,2007
